,date,text,label
0,2016-01-04,icareegun iowan vote realdonaldtrump iacaucu thank support iowa great honor,0
1,2016-01-04,rhettriley1234 trump win vote must grow trump nation part vote time,0
2,2016-01-04,look forward lowel massachusett today hear big crowd expect lot fun,0
3,2016-01-04,woodi johnson owner nyjet jebbush financ chairman woodi would w would playoff least,0
4,2016-01-05,ralli lowel massachusett amaz 10 000 peopl go wild make america great,0
5,2016-01-05,troyconway 2 firm go sea huge differ global economi greed makeamericagreatagain,0
6,2016-01-05,thecybermenac realdonaldtrump donald trump hit one ballpark lowel tonight,0
7,2016-01-05,samuelghaddad wow let hear factor let truth known begin realiz realdonaldtrump real deal,0
8,2016-01-05,mark98z realdonaldtrump mr trump best energ one date watch well done,0
9,2016-01-05,djw11223 realdonaldtrump crowd huge makeamericagreatagain,0
10,2016-01-05,salriccobono realdonaldtrump troyconway donald get big busi back make america great 2016,0
11,2016-01-05,iloveidevic edwinro47796972 happyjack225 foxnew krauthamm minim depend china crucial trump talk,0
12,2016-01-05,ghosthunter_lol iowa key endors realdonaldtrump wait iowa caucu 4 week trump2016,0
13,2016-01-05,marybnall01 realdonaldtrump watch lowel mass speech awesom great crowd make america great,0
14,2016-01-05,lilredfrmkokomo realdonaldtrump facebook group vote trump 4000 peopl great,0
15,2016-01-05,wow unionlead circul nh drop 75 000 around 10 bad manag wonder beg ad,0
16,2016-01-05,know samuelljackson best knowledg play golf w amp think mani tv commerci bore fan,0
17,2016-01-05,lucky5713 newday wrong show morocco noth illustr point duh love video,0
18,2016-01-05,longtalltexan20 realdonaldtrump love trump call msm realli cam start show crowd ralli,0
19,2016-01-06,new hampshir receiv great news reuter poll thank support,0
20,2016-01-06,pearl_brendan dphilb realdonaldtrump win leav countri trump4presid,0
21,2016-01-06,trumpy17 realdonaldtrump gave awesom speech claremont tonight,0
22,2016-01-06,rubinsteinnel realdonaldtrump pearl_brendan dphilb trump win may abl recuper america,0
23,2016-01-06,boazziz danscavino somewher crowd gymnasium electr crowd unstopp amp realdonaldtrump kingli,0
24,2016-01-06,dantegtmey isi reportedli murder spi call davidcameron slave wh video welcom,0
25,2016-01-06,kristopheryan11 realdonaldtrump mr trump excel seanhann tonight thank,0
26,2016-01-06,kacee50 realdonaldtrump women make fastest grow market gun sale hillari want take right away women,0
27,2016-01-06,compresphylli seanhann foxnew glad u trump program favorit far best,0
28,2016-01-06,arkaysdesign slone realdonaldtrump get peopl age vote donald trump,0
29,2016-01-06,becker_berta longtalltexan20 trump singl handedli politician ever dare attack media lie,0
30,2016-01-06,germani go massiv attack peopl migrant allow enter countri new year eve disast think,0
